,url,id,datetime,location,username,displayname,verified,followerCount,friendsCount,language,content,bio,likes,retweets,quotes,comments,hashtags
0,https://twitter.com/BorntoShineee/status/1495184723659792387,1495184723659792387,2022-02-19 23:53:11+00:00,Canada,BorntoShineee,Mr. Singh Deol 🌾🌾🧑‍🌾🇮🇳🇨🇦🙏,False,3037,1673,en,"Vote wisely Punjab,
Let’s change the regime of Punjab politics. 
Don’t fall for the trap of BJP, Congress and Akali Dal.
In my opinion @BhagwantMann is way better then @capt_amarinder and @officeofssbadal 
Hope Punjab vote for a better future.
#PunjabElections2022",Support Farmer🙏🙏👍/ #NoFarmerNoFood #FarmersProtest #Tractor2Twitter #kisanEktaZindabaad💪💪/ RTs are not endorsements/ believe in humanity,4,2,1,0,['PunjabElections2022']
1,https://twitter.com/hAtEu5tup1dB1rD/status/1495166595144232965,1495166595144232965,2022-02-19 22:41:09+00:00,#FreeAllSikhPoliticalPrisoners,hAtEu5tup1dB1rD,☬.ਸਟੈਨ ⚔️🌸🤡,False,539,429,en,"✔️#DeepSidhu was campaigning for SADA (Shiromani Akali Dal Amritsar), headed by @SimranjitSADA 
Following is the candidate list, note the symbolS
Let’s make the votes count
#VoteForSimranjitSinghMann 
#PunjabElections 

Reminder: SADA &amp; SAD are two DIFFERENT political parties: https://t.co/YpcP8uz0bJ",award winning “JoUrNaLiSt”#### ALL political parties!#ShaheedDeepSidhu #ISupportNihangSinghs #PritiPatelMustGo #FreeHawara #FreeJaggiNow #SGPC_LeaveTakhatSahib,4,4,0,0,"['DeepSidhu', 'VoteForSimranjitSinghMann', 'PunjabElections']"
2,https://twitter.com/Liza05603394/status/1495157628233826305,1495157628233826305,2022-02-19 22:05:31+00:00,India,Liza05603394,/_!2@🌾,False,454,276,en,@saahilmenghani @ambkcsingh Dera has issued massage to followers to vote BJP and AkaliDal 😤🤯 @saahilmenghani @Kisanektamorcha @Baljit_ITCell @iamrajbuttar @BaltejPannu @iJasOberoi @_garrywalia,"Aan Kisani, Shaan kisani, Pehchaan Kisani,Dharm Kisani. Joined Twitters for Shehnaaz in jan 2020 nd continue to support SidNaaz ❤️.",2,0,0,0,
3,https://twitter.com/pmand85/status/1495153363939467265,1495153363939467265,2022-02-19 21:48:35+00:00,,pmand85,Mand P,False,1,21,hi,@TheDeshBhakt Isne Punjab me akali dal se milkar pani wali bus chalayi thi 😂😂😂,,0,0,0,0,
4,https://twitter.com/WakeUP38960723/status/1495149026995548168,1495149026995548168,2022-02-19 21:31:21+00:00,,WakeUP38960723,WakeUP,False,3,11,en,"@capt_amarinder Hope you enjoyed the campaign.This was ur last campaign before disappearing from Punjab‘s political scene. U &amp; ur buddies in congress, BJP, Akali Dal are all done. Good luck with your retirement. Hope you have developed some hobby other than screwing Punjabis to keep urself busy.",be fair and stand up against injustice...,0,0,1,0,
5,https://twitter.com/Singhmaan923/status/1495144670581645314,1495144670581645314,2022-02-19 21:14:02+00:00,,Singhmaan923,ЅℐℕᎶℋℳᎯᎯℕ,False,960,1411,pa,"ਤੁਹਾਡੀ ਇੱਕ-ਇੱਕ ਵੋਟ ਬਹੁਤ ਮਾਇਨੇ ਰੱਖਦੀ ਆ,,
ਵੋਟ ਪਾਉਣ ਤੋਂ ਪਹਿਲਾਂ ਅਪਣੀ ਜਮੀਰ ਤੋਂ ਸਵਾਲ
ਜਰੂਰ ਪੁੱਛਣਾ 
@SimranjitSADA
@AkaliDal_A
#PunjabElections
#VoteForSimranjitSinghMann https://t.co/FVoo1Hj2Zl","ਸਰਬੱਤ ਦਾ ਭਲਾ 
.

☬sᴀʀᴅᴀʀɪ☬
.

Don't look for a good person in life, Be yourself good. after meeting you, maybe someone's quest is complete.",21,8,2,1,"['PunjabElections', 'VoteForSimranjitSinghMann']"
6,https://twitter.com/peo13_thereturn/status/1495143523192291329,1495143523192291329,2022-02-19 21:09:29+00:00,,peo13_thereturn,Miya Dilsaaf Khan Dhillon,False,81,144,en,@SikhAesthetics akali dal doesnt give ticket to people like him,ਦਾਸਨਿ ਦਾਸ,3,0,0,0,
7,https://twitter.com/anhilation_/status/1495137416679624709,1495137416679624709,2022-02-19 20:45:13+00:00,,anhilation_,annihilate_caste,False,785,2007,und,#BSP_SAD_Alliance is winning Punjab. @jasvirpunjab @JasvirGhari @Akali_Dal_ @officialYAD @bspindia इस thread ko viral करे 👍👍 https://t.co/CvQ5GaMI8n,"सर्व जन हिताय, सर्व जन सुखाय A patriot must always be ready to defend his country against his government.  #cyber #nft #equality s",0,0,0,0,['BSP_SAD_Alliance']
8,https://twitter.com/Singhmaan923/status/1495136713974460419,1495136713974460419,2022-02-19 20:42:25+00:00,,Singhmaan923,ЅℐℕᎶℋℳᎯᎯℕ,False,960,1411,pa,"ਤੁਹਾਡੀ ਇੱਕ-ਇੱਕ ਵੋਟ ਬਹੁਤ ਮਾਇਨੇ ਰੱਖਦੀ ਆ,,

@SimranjitSADA
@AkaliDal_A

#VoteForSimranjitSinghMann

https://t.co/hip1de28yC","ਸਰਬੱਤ ਦਾ ਭਲਾ 
.

☬sᴀʀᴅᴀʀɪ☬
.

Don't look for a good person in life, Be yourself good. after meeting you, maybe someone's quest is complete.",2,1,0,0,['VoteForSimranjitSinghMann']
9,https://twitter.com/rahulduggal18/status/1495133071439323139,1495133071439323139,2022-02-19 20:27:57+00:00,India,rahulduggal18,Rahul Duggal,False,226,977,in,@satty643 Majha - akali dal. How?,DevOps | Travel | Punjab | Pune | India 🇮🇳 | Curious |  Early Adopter of Twitter since ‘09.,0,0,0,0,
